Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/13/2021,63.99,64.05,61.83,62.35,-1.93,-3.00%,28202,169284
05/12/2021,63.83,64.65,63.4,64.28,0.63,+0.99%,20667,170373
05/11/2021,63.24,63.8,62.53,63.65,0.45,+0.71%,22308,170053
05/10/2021,63.26,63.7,62.54,63.2,0.28,+0.45%,21267,168874
05/07/2021,62.67,62.96,62.11,62.92,0.42,+0.67%,16896,167915
05/06/2021,62.38,63.11,62.3,62.5,-0.28,-0.45%,27620,165998
05/05/2021,62.92,63.34,62.41,62.78,0.14,+0.22%,27834,162303
05/04/2021,61.77,62.93,61.54,62.64,1.01,+1.64%,21816,160660
05/03/2021,61.05,61.72,60.48,61.63,0.72,+1.18%,7611,158293
04/30/2021,61.94,61.98,60.73,60.91,-1.1,-1.77%,14640,157174
04/29/2021,61.49,62.35,61.49,62.01,0.59,+0.96%,25420,157936
04/28/2021,60.92,61.77,60.65,61.42,0.48,+0.79%,30591,156188
04/27/2021,60.23,61.1,60.23,60.94,0.69,+1.15%,18872,156184
04/26/2021,60.12,60.43,59.36,60.25,0.04,+0.07%,12936,155671
04/23/2021,59.87,60.27,59.41,60.21,0.56,+0.94%,9929,155116
04/22/2021,59.21,59.9,58.93,59.65,0.4,+0.68%,17017,154950
04/21/2021,59.67,59.8,58.83,59.25,-0.63,-1.05%,20358,154678
04/20/2021,60.4,60.99,59.26,59.88,-0.57,-0.94%,24612,154753
04/19/2021,60.33,60.86,60.14,60.45,0.01,+0.02%,17975,154963
04/16/2021,60.5,61.03,60.35,60.44,-0.18,-0.30%,14971,156345
04/15/2021,60.55,60.82,60.11,60.62,-0.2,-0.33%,25215,155498
04/14/2021,59.48,60.98,59.46,60.82,1.63,+2.75%,30043,153209
04/13/2021,58.83,59.42,58.77,59.19,0.46,+0.78%,13614,150955
04/12/2021,58.34,59.18,57.93,58.73,0.47,+0.81%,19809,149731
04/09/2021,58.23,58.34,57.77,58.26,0.03,+0.05%,17289,149983
04/08/2021,58.62,58.76,57.97,58.23,-0.67,-1.14%,19085,150906
04/07/2021,58.88,59.26,58.05,58.9,0.13,+0.22%,23313,152134
04/06/2021,58.25,59.62,58.24,58.77,0.61,+1.05%,25400,153548
04/05/2021,59.3,59.43,57.2,58.16,-1.22,-2.05%,23141,153665
04/01/2021,57.54,59.44,57.24,59.38,2.22,+3.88%,48533,155457
03/31/2021,57.87,58.47,57.02,57.16,-0.79,-1.36%,22850,152891
03/30/2021,58.84,58.84,57.61,57.95,-0.61,-1.04%,13974,152249
03/29/2021,58.46,58.95,57.55,58.56,0.07,+0.12%,16578,152372
03/26/2021,56.93,58.77,56.93,58.49,1.53,+2.69%,20454,154442
03/25/2021,58.48,58.52,56.41,56.96,-1.8,-3.06%,27863,155469
03/24/2021,57,58.8,56.91,58.76,1.82,+3.20%,41428,158918
03/23/2021,58.52,58.52,56.6,56.94,-1.79,-3.05%,56126,155451
03/22/2021,58.45,59.01,58.07,58.73,0.22,+0.38%,17787,160084
03/19/2021,57.99,58.98,57.43,58.51,0.52,+0.90%,52806,162095
03/18/2021,60.15,60.67,56.77,57.99,-2.41,-3.99%,51089,158482
03/17/2021,60.2,60.63,59.84,60.4,0.23,+0.38%,23042,157307
03/16/2021,60.06,60.34,59.39,60.17,-0.09,-0.15%,15872,156623
03/15/2021,60.52,61.01,59.65,60.26,-0.13,-0.22%,19403,155891
03/12/2021,60.26,60.57,60.16,60.39,-0.12,-0.20%,14132,154605
03/11/2021,59.89,60.65,59.74,60.51,0.91,+1.53%,20930,153599
03/10/2021,59.77,59.96,58.89,59.6,-0.03,-0.05%,29673,153264
03/09/2021,60.08,60.62,59.3,59.63,-0.29,-0.48%,23343,154582
03/08/2021,60.67,61.47,59.52,59.92,-0.39,-0.65%,31737,153984
03/05/2021,59.15,60.48,58.6,60.31,1.48,+2.52%,37016,155054
03/04/2021,57.68,59.43,57.08,58.83,1.2,+2.08%,46945,155509
03/03/2021,56.71,58.07,56.7,57.63,0.94,+1.66%,28880,155799
03/02/2021,56.54,57.65,55.97,56.69,-0.08,-0.14%,29539,156060
03/01/2021,57.47,58.35,56.44,56.77,-0.43,-0.75%,24616,150607
02/26/2021,58.33,58.42,57.06,57.2,-1.45,-2.47%,18576,146767
02/25/2021,58.77,59.18,58.41,58.65,-0.06,-0.10%,21527,145182
02/24/2021,57.3,58.85,57.2,58.71,1.27,+2.21%,30350,143484
