Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/15/2019,74.3,74.3,74.3,74.3,-0.55,-0.73%,0,57
07/12/2019,74.85,74.85,74.85,74.85,-0.1,-0.13%,0,57
07/11/2019,74.95,74.95,74.95,74.95,-0.6,-0.79%,0,57
07/10/2019,75.55,75.55,75.55,75.55,1.55,+2.09%,0,0
07/09/2019,74,74,74,74,-1.35,-1.79%,2,57
07/08/2019,75.35,75.35,75.35,75.35,0.8,+1.07%,0,55
07/05/2019,74.55,74.55,74.55,74.55,2.25,+3.11%,0,55
07/03/2019,72.3,72.3,72.3,72.3,0.65,+0.91%,0,0
07/02/2019,71.65,71.65,71.65,71.65,-0.9,-1.24%,0,55
07/01/2019,72.55,72.55,72.55,72.55,-0.6,-0.82%,5,55
06/28/2019,73.15,73.15,73.15,73.15,-0.05,-0.07%,0,50
06/27/2019,73.2,73.2,73.2,73.2,-0.25,-0.34%,0,50
06/26/2019,73.45,73.45,73.45,73.45,0.6,+0.82%,0,50
06/25/2019,72.85,72.85,72.85,72.85,-0.7,-0.95%,0,50
06/24/2019,73.55,73.55,73.55,73.55,0.05,+0.07%,0,50
06/21/2019,73.5,73.5,73.5,73.5,1.3,+1.80%,0,50
06/20/2019,72.2,72.2,72.2,72.2,2.1,+3.00%,0,50
06/19/2019,70.1,70.1,70.1,70.1,-0.3,-0.43%,0,50
06/18/2019,70.4,70.4,70.4,70.4,-0.65,-0.91%,5,50
06/17/2019,71.05,71.05,71.05,71.05,-0.45,-0.63%,0,49
06/14/2019,71.5,71.5,71.5,71.5,-0.25,-0.35%,0,49
06/13/2019,71.75,71.75,71.75,71.75,0.3,+0.42%,0,49
06/12/2019,71.45,71.45,71.45,71.45,-0.75,-1.04%,0,49
06/11/2019,72.2,72.2,72.2,72.2,-1.45,-1.97%,0,49
06/10/2019,73.65,73.65,73.65,73.65,0.5,+0.68%,0,49
06/07/2019,73.15,73.15,73.15,73.15,1.65,+2.31%,0,49
06/06/2019,71.5,71.5,71.5,71.5,0.45,+0.63%,5,49
06/05/2019,71.05,71.05,71.05,71.05,-1.4,-1.93%,0,44
06/04/2019,72.45,72.45,72.45,72.45,1.25,+1.76%,0,44
06/03/2019,71.2,71.2,71.2,71.2,0.15,+0.21%,0,44
05/31/2019,71.05,71.75,71.05,71.05,-0.7,-0.98%,0,44
05/30/2019,71.75,71.75,71.75,71.75,-1.1,-1.51%,0,44
05/29/2019,72.85,72.85,72.85,72.85,-0.7,-0.95%,2,44
