Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/31/2021,91,91,91,91,-0.65,-0.71%,0,953
12/30/2021,91.65,91.65,91.65,91.65,-0.45,-0.49%,25,953
12/29/2021,92.1,92.1,92.1,92.1,-19.5,-17.47%,0,953
12/28/2021,111.6,111.6,111.6,111.6,2.15,+1.96%,0,953
12/27/2021,109.45,109.45,109.45,109.45,0,0.00%,0,953
12/23/2021,109.45,109.45,109.45,109.45,-6.25,-5.40%,0,953
12/22/2021,115.7,115.7,115.7,115.7,0.55,+0.48%,3,953
12/21/2021,115.15,115.15,115.15,115.15,2.55,+2.26%,22,953
12/20/2021,112.6,112.6,112.6,112.6,-0.2,-0.18%,5,975
12/17/2021,112.8,112.8,112.8,112.8,-3.3,-2.84%,7,975
12/16/2021,116.1,116.1,116.1,116.1,3.05,+2.70%,10,974
12/15/2021,113.05,113.05,113.05,113.05,-0.1,-0.09%,0,974
12/14/2021,113.15,113.15,113.15,113.15,1.4,+1.25%,8,974
12/13/2021,111.75,111.75,111.75,111.75,4.4,+4.10%,20,969
12/10/2021,107.35,107.35,107.35,107.35,2.25,+2.14%,0,955
12/09/2021,105.1,105.1,105.1,105.1,-0.7,-0.66%,6,955
12/08/2021,105.8,105.8,105.8,105.8,3.9,+3.83%,5,952
12/07/2021,101.9,101.9,101.9,101.9,2.75,+2.77%,55,953
12/06/2021,99.15,99.15,99.15,99.15,1.6,+1.64%,49,1000
12/03/2021,97.55,97.55,97.55,97.55,1.35,+1.40%,4,1028
12/02/2021,96.2,96.2,96.2,96.2,-7.35,-7.10%,2,1036
12/01/2021,103.55,103.55,103.55,103.55,10.05,+10.75%,7,1175
11/30/2021,93.5,93.5,93.5,93.5,-4.7,-4.79%,26,1179
11/29/2021,98.2,98.2,98.2,98.2,-6.5,-6.21%,3,1172
11/26/2021,104.7,104.7,104.7,104.7,-11.35,-9.78%,186,1175
11/24/2021,116.05,116.05,116.05,116.05,5.1,+4.60%,16,999
11/23/2021,110.95,110.95,110.95,110.95,5.9,+5.62%,7,992
11/22/2021,105.05,105.05,105.05,105.05,2,+1.94%,5,998
11/19/2021,103.05,103.05,103.05,103.05,0.25,+0.24%,7,992
11/18/2021,102.8,102.8,102.8,102.8,1.35,+1.33%,1,996
11/17/2021,101.45,101.45,101.45,101.45,0.45,+0.45%,0,996
11/16/2021,101,101,101,101,6.05,+6.37%,12,997
11/15/2021,94.95,94.95,94.95,94.95,1.55,+1.66%,3,997
11/12/2021,93.4,93.4,93.4,93.4,-2.95,-3.06%,0,1000
11/11/2021,96.35,96.35,96.35,96.35,1.2,+1.26%,0,1000
11/10/2021,95.1,95.15,95.1,95.15,-1.95,-2.01%,4,1000
11/09/2021,97.7,97.7,97.1,97.1,-5.15,-5.04%,19,1000
