Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/20/2017,6.026,6.026,6.026,6.026,-0.031,-0.51%,0,0
06/19/2017,6.057,6.057,6.057,6.057,0,0.00%,0,0
06/16/2017,6.057,6.057,6.057,6.057,0.015,+0.25%,0,0
06/15/2017,6.042,6.042,6.042,6.042,-0.074,-1.21%,0,0
06/14/2017,6.116,6.116,6.116,6.116,0.013,+0.21%,0,0
06/13/2017,6.103,6.103,6.103,6.103,0.032,+0.53%,0,0
06/12/2017,6.071,6.071,6.071,6.071,-0.045,-0.74%,0,0
06/09/2017,6.116,6.116,6.116,6.116,0.005,+0.08%,0,0
06/02/2017,6.111,6.111,6.111,6.111,0.029,+0.48%,0,0
06/01/2017,6.082,6.082,6.082,6.082,-0.004,-0.07%,0,0
05/31/2017,6.086,6.086,6.086,6.086,-0.009,-0.15%,0,0
05/25/2017,6.095,6.095,6.095,6.095,-0.036,-0.59%,0,0
05/24/2017,6.131,6.131,6.131,6.131,-0.048,-0.78%,0,0
05/23/2017,6.179,6.179,6.179,6.179,0.005,+0.08%,0,0
"Downloaded from Barchart.com as of 01-15-2022 06:20pm CST"
